rank,term,popularity,pop_num,growth_pct,brand,suggested_content,our_page,sat_priority,creators_saturation,content_status
157,luxury work tote bag,253K,253000,,General / multi-brand,Video (style/size showcase),,278.3,,
158,birkin 35 bag,253K,253000,,Hermès,Video (style/size showcase),,404.8,,
159,YSL Niki bag,252K,252000,89.3%,YSL,Video (trend showcase),,265.4,,
160,Purse as a status symbol,250K,250000,,General / multi-brand,Article + video (explainer/comparison),,275.0,,
161,celine bag price,250K,250000,102.8%,Celine,Article + video (explainer/comparison),,358.3,,
162,LV luxury bags,250K,250000,271.7%,Louis Vuitton,Video (trend showcase),,363.4,,
163,luxury backpacks,249K,249000,1000%+,General / multi-brand,Video (style/size showcase),,438.9,,
164,Silky goyard,248K,248000,,Goyard,Video (trend showcase),,310.0,,
165,boulogne pm louis vuitton,247K,247000,143.7%,Louis Vuitton,Video (trend showcase),,335.7,,
166,dior trotter bag,247K,247000,39.4%,Dior,Video (trend showcase),,316.1,,
167,city bag balenciaga,247K,247000,,Balenciaga,Video (trend showcase),,247.0,,
168,pink denim pochette purse,246K,246000,141.6%,Louis Vuitton,Video (trend showcase),,334.1,,
169,louis vuitton croissant bag,246K,246000,347.5%,Louis Vuitton,Video (trend showcase),,372.7,,
170,yellow coach bag,245K,245000,,Coach,Video (trend showcase),,392.0,,
171,goyard st louis gm,245K,245000,299.5%,Goyard,Video (trend showcase),,362.4,,
172,inside birkin bag,245K,245000,,Hermès,Video (trend showcase),,392.0,,
173,birkin,244K,244000,,Hermès,Video (trend showcase),,390.4,,
174,Louis Vuitton Hand Bags,244K,244000,132.9%,Louis Vuitton,Video (trend showcase),,329.9,,
175,Prada Crystal Cleo,244K,244000,84.1%,Prada,Video (trend showcase),,256.6,,
176,Chanel tote,243K,243000,48.6%,Chanel,Video (style/size showcase),,400.5,,
177,woman louis vuitton bag,243K,243000,174.3%,Louis Vuitton,Video (trend showcase),,336.4,,
178,louis vuitton alma,242K,242000,174.1%,Louis Vuitton,Video (trend showcase),,335.1,,
179,dior d joy bag,242K,242000,,Dior,Video (trend showcase),,302.5,,
180,YSL puffer bag toy,242K,242000,41000%+,YSL,Video (trend showcase),,392.0,,
181,thrifting purses,241K,241000,,General / multi-brand,Article + video (explainer/comparison),,357.9,,
182,purse gift ideas,241K,241000,285.1%,General / multi-brand,Video (trend showcase),,312.1,,
183,louis vuitton chloe bag,241K,241000,,Louis Vuitton,Video (trend showcase),,301.2,,
184,goyard laptop bag,241K,241000,62.2%,Goyard,Video (trend showcase),,312.9,,
185,gucci boat bag,241K,241000,,Gucci,Video (trend showcase),,301.2,,
186,louis vuitton microscopic bag,240K,240000,153.8%,Louis Vuitton,Video (trend showcase),,328.8,,
187,YSL zip around wallet,240K,240000,447.3%,YSL,Video (style/size showcase),,307.1,,
188,birkin 25 price,240K,240000,,Hermès,Article + video (explainer/comparison),,518.4,,
189,vintage coach collection,239K,239000,113.6%,Coach,Video (trend showcase),,409.7,,
190,gucci baby bag,239K,239000,425.3%,Gucci,Video (trend showcase),,378.5,,
191,louis vuitton trunk,238K,238000,,Louis Vuitton,Video (trend showcase),,297.5,,
192,goyard st louis pm vs gm,238K,238000,,Goyard,Article + video (explainer/comparison),,401.6,,
193,YSL raffia bags on amazon,238K,238000,45.9%,YSL,Video (trend showcase),,244.9,,
194,louis vuitton gm neverfull,237K,237000,41000%+,Louis Vuitton,Video (trend showcase),,483.8,,
195,Goyard duffle,237K,237000,101.9%,Goyard,Video (trend showcase),,315.4,,
196,givenchy nightingale bag,237K,237000,137.1%,Givenchy,Video (trend showcase),,257.6,,
197,diane louis vuitton bag,236K,236000,,Louis Vuitton,Video (trend showcase),,295.0,,
198,Goyard vanity,236K,236000,1000%+,Goyard,Video (trend showcase),,482.5,,
199,birkin 40 bag,236K,236000,,Hermès,Video (style/size showcase),,377.6,,
200,jacquemus bambinos bag,236K,236000,,Jacquemus,Video (trend showcase),,236.0,,
201,etta coach bag,235K,235000,,Coach,Video (trend showcase),,376.0,,
202,louis vuitton bucket bag,235K,235000,,Louis Vuitton,Video (trend showcase),,293.8,,
203,goyard duffle bag,235K,235000,,Goyard,Video (trend showcase),,293.8,,
204,original birkin bag,235K,235000,,Hermès,Video (trend showcase),,376.0,,
205,Kelly 25,235K,235000,,Hermès,Video (style/size showcase),,376.0,,
206,chanel shopping,234K,234000,446.9%,Chanel,Video (trend showcase),,481.7,,
207,the row bags,234K,234000,1000%+,The Row,Video (trend showcase),,384.0,,
208,louis vuitton easy pouch,233K,233000,187.1%,Louis Vuitton,Video (style/size showcase),,326.3,,
209,luxury item to buy,232K,232000,480.2%,General / multi-brand,Video (trend showcase),,334.4,,
210,red goyard bag,232K,232000,,Goyard,Video (trend showcase),,290.0,,
211,bottega boat pouch,232K,232000,,Bottega,Video (style/size showcase),,232.0,,
212,prada arque shoulder bag,232K,232000,110.0%,Prada,Video (trend showcase),,248.5,,
213,gucci jacqueline bag,230K,230000,,Gucci,Video (trend showcase),,287.5,,
214,louis vuitton carryall bb,229K,229000,,Louis Vuitton,Video (trend showcase),,286.2,,
215,prada fairy bag,229K,229000,1000%+,Prada,Video (trend showcase),,379.0,,
216,Loewe Puzzle clutch,228K,228000,,Loewe,Video (trend showcase),,228.0,,
217,cc luxury handbags,227K,227000,,General / multi-brand,Video (trend showcase),,249.7,,
218,goyard bags original,227K,227000,,Goyard,Video (trend showcase),,283.8,,
219,leather louis vuitton bag,225K,225000,101.6%,Louis Vuitton,Video (trend showcase),,300.3,,
220,dior saddle bag countries,225K,225000,191.8%,Dior,Video (trend showcase),,317.2,,
221,prada beach bag,225K,225000,,Prada,Video (trend showcase),,225.0,,
222,YSL kate medium bag,224K,224000,,YSL,Video (trend showcase),,224.0,,
223,Togo Kelly 25,224K,224000,,Hermès,Video (style/size showcase),,358.4,,
224,chanel mini top handle,223K,223000,200.8%,Chanel,Video (style/size showcase),,405.0,,
225,louis vuitton wallet on chain,223K,223000,120.2%,Louis Vuitton,Video (style/size showcase),,301.3,,
226,again louis vuitton,223K,223000,740.8%,Louis Vuitton,Video (trend showcase),,417.6,,
227,kayla prada bag,222K,222000,113.4%,Prada,Video (trend showcase),,239.0,,
228,clean coach purse,221K,221000,,Coach,Video (trend showcase),,353.6,,
229,tag me pouch louis vuitton,221K,221000,,Louis Vuitton,Video (style/size showcase),,276.2,,
230,red goyard backpack,221K,221000,,Goyard,Video (style/size showcase),,276.2,,
231,Goyard Bag Crossbody,220K,220000,,Goyard,Video (style/size showcase),,275.0,,
232,new LV bag,220K,220000,,Louis Vuitton,Video (trend showcase),,275.0,,
233,prada bags for women,220K,220000,43.5%,Prada,Video (trend showcase),,226.5,,
234,gucci pouch,219K,219000,1000%+,Gucci,Video (style/size showcase),,461.2,,
235,slouchy pm louis vuitton,218K,218000,,Louis Vuitton,Video (trend showcase),,272.5,,
236,picotin bag hermes,217K,217000,199.5%,Hermès,Video (trend showcase),,395.1,,
237,dior cadillac saddle bag,217K,217000,,Dior,Video (trend showcase),,271.2,,
238,celine bittersweet bag,216K,216000,1000%+,Celine,Video (trend showcase),,366.0,,
239,birkin 40 hermes,216K,216000,1000%+,Hermès,Video (style/size showcase),,585.6,,
240,louis gucci prada,216K,216000,36.7%,Gucci,Video (trend showcase),,276.9,,
241,purse brands,215K,215000,,General / multi-brand,Video (trend showcase),,236.5,,
242,green goyard bag melts,215K,215000,,Goyard,Video (trend showcase),,268.8,,
243,gucci marmont,215K,215000,,Gucci,Video (trend showcase),,268.8,,
244,dior handbag,214K,214000,162.6%,Dior,Video (trend showcase),,298.0,,
245,amazona loewe,214K,214000,192.5%,Loewe,Video (trend showcase),,242.9,,
246,givenchy micro antigona bag,214K,214000,,Givenchy,Video (trend showcase),,214.0,,
247,paris hermes appointment,213K,213000,,Hermès,Video (trend showcase),,340.8,,
248,Dior Lounge Bag,213K,213000,47.7%,Dior,Video (trend showcase),,275.2,,
249,goyard backpack men,213K,213000,,Goyard,Video (style/size showcase),,266.2,,
250,old celine,213K,213000,,Celine,Video (trend showcase),,213.0,,
251,jacquemus valerie bag price,213K,213000,62.2%,Jacquemus,Article + video (explainer/comparison),,300.1,,
252,Hermes collection,212K,212000,37.2%,Hermès,Video (trend showcase),,348.1,,
253,louis vuitton cosmetic purse,211K,211000,37.5%,Louis Vuitton,Video (trend showcase),,270.8,,
254,old vintage louis vuitton handbag,210K,210000,279.2%,Louis Vuitton,Video (trend showcase),,314.9,,
255,gucci mini shoulder bag,210K,210000,872.3%,Gucci,Video (style/size showcase),,426.1,,
256,himalayan birkin price,209K,209000,87.5%,Hermès,Article + video (explainer/comparison),,479.8,,
257,birkin bag original video,209K,209000,,Hermès,Video (trend showcase),,334.4,,
258,kelly 28 hermes,208K,208000,34.0%,Hermès,Video (style/size showcase),,341.0,,
259,LV duffle bags,208K,208000,,Louis Vuitton,Video (trend showcase),,260.0,,
260,LV Neonoe Bag,207K,207000,87.7%,Louis Vuitton,Video (trend showcase),,275.2,,
261,first designer handbag,206K,206000,69.0%,General / multi-brand,Video (trend showcase),,238.0,,
262,Fendi peekaboo,206K,206000,83.8%,Fendi,Video (trend showcase),,218.6,,
263,gucci hobo shoulder bag,206K,206000,149.5%,Gucci,Video (trend showcase),,285.5,,
264,well used birkin,205K,205000,,Hermès,Video (trend showcase),,328.0,,
265,using a birkin,205K,205000,49.3%,Hermès,Video (trend showcase),,339.8,,
266,gucci purse,204K,204000,,Gucci,Video (trend showcase),,255.0,,
267,goyard tj maxx,204K,204000,31.8%,Goyard,Video (trend showcase),,261.0,,
268,how to tie birkin top,204K,204000,79.2%,Hermès,Article + video (explainer/comparison),,345.4,,
269,YSL raffia bag,203K,203000,425.6%,YSL,Video (trend showcase),,266.8,,
270,Celine Phantom,203K,203000,146.8%,Celine,Video (trend showcase),,225.0,,
271,LV bag patina,203K,203000,87.7%,Louis Vuitton,Video (trend showcase),,270.2,,
272,jacquemus bags price,203K,203000,47.4%,Jacquemus,Article + video (explainer/comparison),,283.6,,
273,mulberry bag,202K,202000,,Mulberry,Video (trend showcase),,202.0,,
274,2026 designer handbag,200K,200000,1000%+,General / multi-brand,Video (trend showcase),,385.0,,
275,luxury shoulder bag,200K,200000,43.8%,General / multi-brand,Video (trend showcase),,227.2,,
276,emily in paris fendi bag,200K,200000,,Fendi,Video (trend showcase),,200.0,,
277,YSL beaded bag,199K,199000,169.5%,YSL,Video (trend showcase),,224.4,,
278,prada explorer bag,198K,198000,,Prada,Video (trend showcase),,198.0,,
279,loewe puzzle tote,197K,197000,,Loewe,Video (style/size showcase),,197.0,,
280,Gucci Tote Bag Review,197K,197000,,Gucci,Article + video (explainer/comparison),,332.4,,
281,Dior mini saddle,196K,196000,1000%+,Dior,Video (style/size showcase),,432.5,,
282,bottega veneta hobo bag,196K,196000,1000%+,Bottega,Video (trend showcase),,346.0,,
283,goyard prices,195K,195000,477.2%,Goyard,Article + video (explainer/comparison),,449.9,,
284,goyard alpine backpack,195K,195000,,Goyard,Video (style/size showcase),,243.8,,
285,dior malice bag pearl,194K,194000,151.4%,Dior,Video (trend showcase),,270.9,,
286,YSL voltaire bag,194K,194000,,YSL,Video (trend showcase),,194.0,,
287,louis vuitton LV pochette,193K,193000,489.7%,Louis Vuitton,Video (trend showcase),,333.1,,
288,goyard bonbonniere bag,193K,193000,,Goyard,Video (trend showcase),,241.2,,
289,gucci madison bag,193K,193000,,Gucci,Video (trend showcase),,241.2,,
290,fendi wallet on chain,192K,192000,,Fendi,Video (style/size showcase),,192.0,,
291,y2k coach bags,190K,190000,,Coach,Video (trend showcase),,304.0,,
292,dior by yves saint laurent,190K,190000,,Dior,Video (trend showcase),,237.5,,
293,new celine,190K,190000,,Celine,Video (trend showcase),,190.0,,
294,speedy 20 LV bag,189K,189000,,Louis Vuitton,Video (trend showcase),,236.2,,
295,louis vuitton ivy bag,188K,188000,1000%+,Louis Vuitton,Video (trend showcase),,422.5,,
296,donna coach purse,187K,187000,,Coach,Video (trend showcase),,299.2,,
297,birkin vs kelly,187K,187000,,Hermès,Article + video (explainer/comparison),/articles/birkin-vs-kelly-which-hermes-bag,403.9,,
298,Handbag TikTok,183K,183000,,General / multi-brand,Video (trend showcase),,201.3,,
299,Prada Cleo Bag,182K,182000,,Prada,Video (trend showcase),,182.0,,
300,how to know if a LV bag is real,180K,180000,,Louis Vuitton,Article + video (explainer/comparison),,303.8,,
301,gucci boston bag,180K,180000,,Gucci,Video (trend showcase),,225.0,,
302,fendigraphy mini bag,180K,180000,54.8%,Fendi,Video (style/size showcase),,188.2,,
303,louis vuitton purses,177K,177000,,Louis Vuitton,Video (trend showcase),,221.2,,
304,coach handbag men,176K,176000,1000%+,Coach,Video (trend showcase),,521.6,,
305,designer everyday bag,176K,176000,,General / multi-brand,Video (trend showcase),,193.6,,
306,awhile prada bag,176K,176000,31.9%,Prada,Video (trend showcase),,180.8,,
307,louis vuitton logo,172K,172000,,Louis Vuitton,Video (trend showcase),,215.0,,
308,tom ford gucci 1995,172K,172000,,Gucci,Video (trend showcase),,215.0,,
309,it's not just a bag it's prada,172K,172000,,Prada,Video (trend showcase),,172.0,,
310,louis vuitton alma pm,171K,171000,,Louis Vuitton,Video (trend showcase),,213.8,,
311,pre owned luxury bags,170K,170000,,General / multi-brand,Video (trend showcase),,187.0,,
312,pink gucci bag,170K,170000,,Gucci,Video (trend showcase),,212.5,,
313,hermesbag,169K,169000,,Hermès,Video (trend showcase),,270.4,,
314,alma pm louis vuitton bag,168K,168000,,Louis Vuitton,Video (trend showcase),,210.0,,
315,birkin bag chanel bag,167K,167000,,Hermès,Video (trend showcase),,267.2,,
316,YSL suede bag,166K,166000,114.9%,YSL,Video (trend showcase),,183.2,,
317,hermes shopping,165K,165000,,Hermès,Video (trend showcase),,264.0,,
318,louis vuitton handbags,165K,165000,,Louis Vuitton,Video (trend showcase),,206.2,,
319,how to buy hermes birkin,164K,164000,1000%+,Hermès,Article + video (explainer/comparison),,502.4,,
320,gucci gg marmont bag,164K,164000,96.3%,Gucci,Video (trend showcase),,223.1,,
321,louis vuitton maida hobo bag,159K,159000,,Louis Vuitton,Video (trend showcase),,198.8,,
322,Hermes Bag Croc Bag,157K,157000,,Hermès,Video (trend showcase),,251.2,,
323,fendigraphy bag,156K,156000,,Fendi,Video (trend showcase),,156.0,,
324,prada darling bag,156K,156000,,Prada,Video (trend showcase),,156.0,,
325,YSL tote,155K,155000,,YSL,Video (style/size showcase),,155.0,,
326,chanel woc,149K,149000,,Chanel,Video (trend showcase),,238.4,,
327,vanity bags as purse,148K,148000,,General / multi-brand,Video (trend showcase),,162.8,,
328,coach nolita purse,144K,144000,,Coach,Video (trend showcase),,230.4,,
329,Large Prada Bonnie,143K,143000,,Prada,Video (trend showcase),,143.0,,
330,pink denim coach bag,142K,142000,,Coach,Video (trend showcase),,227.2,,
331,purse coach,140K,140000,,Coach,Video (trend showcase),,224.0,,
332,Birkin sizes,137K,137000,1000%+,Hermès,Video (style/size showcase),,459.2,,
333,mini speedy louis vuitton,134K,134000,,Louis Vuitton,Video (style/size showcase),,167.5,,
334,gucci and balenciaga,134K,134000,84.7%,Gucci,Video (trend showcase),,183.4,,
335,hermes lindy bag,124K,124000,,Hermès,Video (trend showcase),,198.4,,
336,selling luxury bags,124K,124000,1000%+,General / multi-brand,Video (trend showcase),,301.4,,
337,louis vuitton bumbag,123K,123000,,Louis Vuitton,Video (trend showcase),,153.8,,
338,real louis vuitton,123K,123000,,Louis Vuitton,Article + video (explainer/comparison),,207.6,,
339,Luxury Bag Recommendations,122K,122000,,General / multi-brand,Video (trend showcase),,134.2,,
340,louis vuitton capucines bags price,121K,121000,,Louis Vuitton,Article + video (explainer/comparison),,204.2,,
341,couch purses,121K,121000,,General / multi-brand,Video (trend showcase),,133.1,,
342,chanel classic,118K,118000,,Chanel,Video (trend showcase),/articles/is-the-chanel-classic-flap-worth-it,188.8,,
343,Vintage Luxury Bags,115K,115000,,General / multi-brand,Video (trend showcase),,126.5,,
344,chanel pink,112K,112000,1000%+,Chanel,Video (trend showcase),,419.2,,
345,louis vuitton alma bb,110K,110000,,Louis Vuitton,Video (trend showcase),,137.5,,
346,neverfull pm louis vuitton,105K,105000,,Louis Vuitton,Video (trend showcase),,131.2,,
347,coach drawstring bag,105K,105000,,Coach,Video (trend showcase),,168.0,,
348,real coach bag,99K,99300,,Coach,Article + video (explainer/comparison),,214.5,,
349,hermes purse,98K,98500,1000%+,Hermès,Video (trend showcase),,397.6,,
350,fendi crossbody bag,98K,97500,41000%+,Fendi,Video (style/size showcase),,247.5,,
351,chanel coach bag,97K,97000,,Chanel,Video (trend showcase),,155.2,,
352,chanel light brown,96K,96400,1000%+,Chanel,Video (trend showcase),,394.2,,
353,designer purse collection,96K,95600,,General / multi-brand,Video (trend showcase),,105.2,,
354,bottega jodie,92K,91900,,Bottega,Video (trend showcase),,91.9,,
355,hermes chypre sizing,84K,84400,1000%+,Hermès,Video (trend showcase),,375.0,,
